Atomic Number,Chemical Symbol,Element Name,Outer Shell
1,H,Hydrogen,1s
2,He,Helium,1s
3,Li,Lithium,2s
4,Be,Beryllium,2s
5,B,Boron,2p
6,C,Carbon,2p
7,N,Nitrogen,2p
8,O,Oxygen,2p
9,F,Fluorine,2p
10,Ne,Neon,2p
11,Na,Sodium,3s
12,Mg,Magnesium,3s
13,Al,Aluminium,3p
14,Si,Silicon,3p
15,P,Phosphorus,3p
16,S,Sulfur,3p
17,Cl,Chlorine,3p
18,Ar,Argon,3p
19,K,Potassium,4s
20,Ca,Calcium,4s
21,Sc,Scandium,3d
22,To,Titanium,3d
23,V,Vanadium,3d
24,Cr,Chromium,3d
25,Mn,Manganese,3d
26,Fe,Iron,3d
27,Co,Cobalt,3d
28,Ni,Nickel,3d
29,Cu,Copper,3d
30,Zn,Zinc,3d
31,Ga,Gallium,4p
32,Ge,Germanium,4p
33,As,Arsenic,4p
34,Se,Selenium,4p
35,Br,Bromine,4p
36,Kr,Krypton,4p
37,Rb,Rubidium,5s
38,Sr,Strontium,5s
39,Y,Yttrium,4d
40,Zr,Zirconium,4d
41,Nb,Niobium,4d
42,Mo,Molybdenum,4d
43,Tc,Technetium,4d
44,Ru,Ruthenium,4d
45,Rh,Rhodium,4d
46,Pd,Palladium,4d
47,Ag,Silver,4d
48,Cd,Cadmium,4d
49,In,Indium,5p
50,Sn,Tin,5p
51,Sb,Antimony,5p
52,Te,Tellurium,5p
53,I,Iodine,5p
54,Xe,Xenon,5p
55,Cs,Caesium,6s
56,Ba,Barium,6s
57,La,Lanthanum,4f
58,Ce,Cerium,4f
59,Pr,Praseodymium,4f
60,Nd,Neodymium,4f
61,Pm,Promethium,4f
62,Sm,Samarium,4f
63,Eu,Europium,4f
64,Gd,Gadolinium,4f
65,Tb,Terbium,4f
66,Dy,Dysprosium,4f
67,Ho,Holmium,4f
68,Er,Erbium,4f
69,Tm,Thulium,4f
70,Yb,Ytterbium,4f
71,Lu,Lutetium,5d
72,Hf,Halfnium,5d
73,Ta,Tantalum,5d
74,W,Tungsten,5d
75,Re,Rhenium,5d
76,Os,Osmium,5d
77,Ir,Iridium,5d
78,Pt,Platinum,5d
79,Au,Gold,5d
80,Hg,Mercury,5d
81,Tl,Thallium,6p
82,Pb,Lead,6p
83,Bi,Bismuth,6p
84,Po,Polonium,6p
85,At,Astatine,6p
86,Rn,Radon,6p
87,Fr,Francium,7s
88,Ra,Radium,7s
89,Ac,Actinium,5f
90,Th,Thorium,5f
91,Pa,Protactinium,5f
92,U,Uranium,5f
93,Np,Neptunium,5f
94,Pu,Plutonium,5f
95,Am,Americium,5f
96,Cm,Curium,5f
97,Bk,Berkelium,5f
98,Cf,Californium,5f
99,Es,Einsteinium,5f
100,Fm,Fermium,5f
101,Md,Mendelevium,5f
102,No,Nobelium,5f
103,Lr,Lawrencium,6d
104,Rf,Rutherfordium,6d
105,Db,Dubnium,6d
106,Sg,Seaborgium,6d
107,Bh,Bohrium,6d
108,Hs,Hassium,6d
109,Mt,Meitnerium,6d
110,Ds,Darmstadtium,6d
111,Rg,Roentgenium,6d
112,Cn,Copernicium,6d
113,Nh,Rihonium,7p
114,Fl,Flerovium,7p
115,Mc,Moscovium,7p
116,Lv,Livermorium,7p
117,Ts,Tennessine,7p
118,Og,Oganesson,7p
